it,bt,km,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,car_links,Top Feature 3,Top Feature 4,Top Feature 5,Top Feature 6,Top Feature 7,Top Feature 8,commonIcon,Top Feature 9,Insurance Validity,Fuel Type,Seats,RTO,Transmission,Mileage,Engine,Max Power,Torque,Color,Engine Type,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Alloy Wheel Size,city,color
0,Hatchback,120000,3,Maruti,Maruti Celerio,2015,3979,VXI,4,https://www.cardekho.com/used-car-details/used-Maruti-Celerio-Vxi-cars-Bangalore_a12b21b4-e26a-41bf-8f47-7e79a725a246.htm,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Child Safety Locks,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Cd Player,Third Party,Petrol,5,KA51,Manual,23,998,67.04,90,white,K10B Engine,3,4,DOHC,MPFi,No,No,3715,1635,1565,2425,1420,1410,835,1250,5,FWD,Power,4.7,Disc,Drum,150,15.05,"Tubeless, Radial",5,235,16,Bangalore,white
0,SUV,32706,2,Ford,Ford Ecosport,2018,6087,1.5 Petrol Titanium BSIV,8.11,https://www.cardekho.com/buy-used-car-details/used-Ford-Ecosport-1.5-Petrol-Titanium-Bsiv-cars-Bangalore_d88ffc79-1d90-405c-a944-051888866d13.htm,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Cd Player,Comprehensive,Petrol,5,KA05,Manual,17,1497,121.31,150,white,Ti-VCT Petrol Engine,3,4,DOHC,Direct Injection,No,No,3998,1765,1647,2519,1295,1290,1242,1660,5,FWD,Power,5.3,Disc,Drum,165,12.36,"Tubeless,Radial",4,352,16,Bangalore,white
0,Hatchback,11949,1,Tata,Tata Tiago,2018,2983,1.2 Revotron XZ,5.85,https://www.cardekho.com/used-car-details/used-Tata-Tiago-1.2-Revotron-Xz-cars-Bangalore_8554c91f-7b6e-417d-aeca-b8c5ac6794a5.htm,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Cd Player,Comprehensive,Petrol,5,KA03,Manual,24,1199,84,114,red,Revotron Engine,3,4,DOHC,MPFi,No,No,3746,1647,1535,2400,1400,1420,1012,1340,5,FWD,Power,4.9,Disc,Drum,150,14.3,Tubeless,5,242,14,Bangalore,red
0,Sedan,17794,1,Hyundai,Hyundai Xcent,2014,1867,1.2 Kappa S Option,4.62,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Xcent-1.2-Kappa-S-Option-cars-Bangalore_fc261f01-eeee-4f1b-bc45-e291d52fdda8.htm,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Cd Player,Comprehensive,Petrol,5,KA53,Manual,19,1197,81.86,113.75,others,Kappa VTVT Petrol Engine,4,4,DOHC,Direct Injection,No,No,3995,1660,1520,2425,1479,1493,1180,1340,5,FWD ,Power,4.7,Disc,Drum,172,14.2,"Tubeless,Radial",4,407,14,Bangalore,others
0,SUV,60000,1,Maruti,Maruti SX4 S Cross,2015,4277,DDiS 200 Zeta,7.9,https://www.cardekho.com/used-car-details/used-Maruti-Sx4-S-Cross-Ddis-200-Zeta-cars-Bangalore_93f9db43-24a0-46d2-abd9-7450d04c0544.htm,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Radio,Third Party,Diesel,5,KA04,Manual,24,1248,88.5,200,grey,DDiS 200 Diesel Engine,4,4,DOHC,Direct Injection,Yes,No,4300,1785,1595,2600,1295,1290,1230,1670,5,FWD,Power,5.2,Disc,Disc,190,12,"Tubeless,Radial",5,353,16,Bangalore,gray
0,Hatchback,37772,1,Datsun,Datsun GO,2017,5223,T Option BSIV,3.45,https://www.cardekho.com/buy-used-car-details/used-Datsun-Go-T-Option-Bsiv-cars-Bangalore_fdb5aa41-2b55-4e04-bb54-ba327efd8902.htm,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Child Safety Locks,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Radio,Comprehensive,Petrol,5,KA05,Manual,21,1198,67,104,grey,Petrol Engine,3,4,DOHC,Electronic Injection System,No,No,3785,1635,1490,2450,1440,1445,1070,1340,5,FWD,Power,4.6,Disc,Drum,150,13.3,Tubeless,5,265,17,Bangalore,grey
0,SUV,30000,1,Hyundai,Hyundai Venue,2021,6946,SX Plus Turbo DCT BSIV,12,https://www.cardekho.com/used-car-details/used-Hyundai-Venue-Sx-Plus-Turbo-Dct-Bsiv-cars-Bangalore_4338a832-d356-42a7-8213-7137bb4bf2a3.htm,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Radio,Third Party,Petrol,5,KA51,Automatic,18,998,118.35,171.6,others,Petrol Engine,3,4,DOHC,GDi,Yes,No,3995,1770,1605,2500,1295,1290,1440,1340,7,FWD,Power,5.3,Disc,Drum,165,12.36,Radial,5,350,16,Bangalore,others
0,Sedan,37000,1,Maruti,Maruti Ciaz,2018,6555,Alpha Automatic BSIV,9.6,https://www.cardekho.com/used-car-details/used-Maruti-Ciaz-Alpha-Automatic-Bsiv-cars-Bangalore_35ce3a3d-46b2-477e-80bc-525323769cd9.htm,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Radio,Comprehensive,Petrol,5,KA03,Automatic,20,1462,103.25,138,maroon,k15B VVT Engine,4,4,DOHC,MPFI,No,No,4490,1730,1485,2650,1295,1290,1105,1530,4,FWD,Power,5.4,Disc,Drum,165,12.36,"Tubeless, Radial",4,510,16,Bangalore,maroon
0,Hatchback,11949,1,Tata,Tata Tiago,2017,2985,1.2 Revotron XZ WO Alloy,5.85,https://www.cardekho.com/buy-used-car-details/used-Tata-Tiago-1.2-Revotron-Xz-Wo-Alloy-cars-Bangalore_ce733b70-4d58-41e3-be21-57b3817a3f24.htm,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Cd Player,Comprehensive,Petrol,5,KA03,Manual,24,1199,84,114,red,Revotron Engine,3,4,DOHC,MPFi,No,No,3746,1647,1535,2400,1400,1420,1012,1340,5,FWD,Power,4.9,Disc,Drum,150,14.3,Tubeless,5,242,16,Bangalore,red
0,Hatchback,50000,1,Maruti,Maruti Baleno,2018,3962,1.2 Delta,6.9,https://www.cardekho.com/used-car-details/used-Maruti-Baleno-1.2-Delta-cars-Bangalore_744cb0de-f4c9-456f-ba13-12ff4790082b.htm,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Cd Player,Third Party,Petrol,5,KA01,Manual,21,1197,83.1,115,red,VVT Petrol Engine,4,4,DOHC,MPFI,No,No,3995,1745,1510,2520,1515,1525,870,1340,5,FWD,Power,4.9,Disc,Drum,180,12.36,"Tubeless,Radial",5,339,16,Bangalore,red
